Problem,Ha,pHa,La,LotShapeA,LotNumA,Hb,pHb,Lb,LotShapeB,LotNumB,Corr,diffEV,diffSDs,diffMins,diffMaxs,diffUV,RatioMin,SignMax,pBbet_Unbiased1,pBbet_UnbiasedFB,pBbet_Uniform,pBbet_Sign1,pBbet_SignFB,Dom,diffBEV0,diffBEVfb,diffSignEV,BEASTpred,bRate,TEST_TRAIN
540,55,0.5,-9,-,1,23,1.0,23,Symm,8,0,-7.11e-15,-30.67712434,28.5,-28.5,0.0,0.0,1,0.0026,-0.0004,0.005,0.5028,0.4957,0,-7.11e-15,-7.11e-15,64.0,0.5944,0.684210526,TRAIN
10618,19,1.0,19,-,1,59,0.4,-19,-,1,0,-6.8,38.21203999,-38.0,40.0,1.0,0.0,1,-0.1852,-0.2006,-0.0038,-0.6025,-0.5978,0,-6.8,-6.8,-93.6,0.2714,0.3875,TRAIN
14465,101,0.4,-39,-,1,82,0.4,-35,-,1,0,-5.2,-11.26765282,4.0,-19.0,-7.5,0.897435897,1,0.1922,0.2124,-0.0066,0.0,-0.0153,0,-5.2,-5.2,0.0,0.2736,0.3375,TRAIN
5205,-1,1.0,-1,-,1,36,0.2,-5,-,1,0,4.2,16.4,-4.0,37.0,16.5,0.2,1,-0.5966,-0.6018,0.0018,0.2003,0.1972,0,4.2,4.2,16.4,0.7385,0.623529412,TRAIN
7983,2,1.0,2,-,1,66,0.01,5,Symm,8,0,3.61,6.070864848,3.0,67.5,57.22222222,0.4,1,1.0,1.0,1.0,0.0,0.0,1,3.61,3.61,-1.42e-14,1.0,0.933333333,TRAIN
3861,15,0.75,7,-,1,17,0.5,16,Symm,8,0,3.5,-2.403441443,6.5,5.5,5.888888889,0.518518519,1,1.0,0.9518,1.0,0.0,0.0,1,3.5,3.5,0.0,1.0,0.847058824,TRAIN
11109,30,0.5,-42,-,1,62,0.2,-32,-,1,0,-7.2,1.6,10.0,32.0,21.0,0.761904762,1,0.3978,0.1992,1.0,-0.2995,-0.2862,0,-7.2,-7.2,-62.4,0.5075,0.285714286,TRAIN
7027,19,1.0,19,-,1,26,0.4,18,Symm,2,0,2.2,3.93192065,-1.0,7.5,4.333333333,0.947368421,1,-0.2,-0.1798,0.32,0.0,0.0,0,2.2,2.2,0.0,0.8475,0.76,TRAIN
86,56,0.1,5,-,1,44,0.25,1,-,1,-1,1.65,3.319546181,-4.0,-12.0,-8.0,0.2,1,-0.6958,-0.5124,-1.0,0.0,0.0,0,1.65,1.65,0.0,0.3836,0.544444444,TRAIN
11098,72,0.2,-2,-,1,13,1.0,13,Symm,8,0,0.2,-28.27712434,11.5,-55.5,-22.0,0.0,1,0.6108,0.6122,0.0036,0.7956,0.798,0,0.2,0.2,118.4,0.7355,0.658823529,TRAIN
13118,-7,1.0,-7,-,1,40,0.01,0,Symm,4,0,7.4,3.98089186,7.0,48.5,39.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1,7.4,7.4,48.985,1.0,0.925,TRAIN
5628,-3,1.0,-3,-,1,-2,0.05,-8,-,1,0,-4.7,1.307669683,-5.0,1.0,-2.0,0.375,-1,-0.9058,-0.9028,0.0188,0.0,0.0,0,-4.7,-4.7,0.0,0.041,0.106666667,TRAIN
3734,2,1.0,2,-,1,32,0.6,-35,Symm,6,0,3.2,32.83458542,-37.0,32.5,20.42857143,0.0,1,0.1976,0.2138,0.7258,-0.3999,-0.3871,0,3.2,3.2,-55.6,0.5294,0.6,TRAIN
12551,-4,0.95,-22,-,1,18,0.2,-27,Symm,6,-1,-13.1,14.08393406,-5.0,24.5,24.57142857,0.814814815,1,-0.6078,-0.603,0.7274,0.2023,0.2033,0,-13.1,-13.1,19.0,0.2723,0.725,TRAIN
12149,10,1.0,10,-,1,17,0.5,-4,R-skew,3,0,-3.5,10.64189833,-14.0,11.0,2.25,0.0,1,0.0,-0.002,0.5044,-0.4922,-0.5012,0,-3.5,-3.5,-25.0,0.2584,0.36,TRAIN
11231,1,1.0,1,-,1,12,0.1,-3,R-skew,5,0,-2.5,5.103920062,-4.0,37.0,13.83333333,0.0,1,-0.8068,-0.7972,0.6696,-0.9004,-0.8987,0,-2.5,-2.5,-73.8,0.2021,0.294117647,TRAIN
9859,26,1.0,26,-,1,54,0.25,10,Symm,2,0,-5.0,19.05419901,-16.0,28.5,13.33333333,0.384615385,1,-0.4984,-0.503,0.3296,0.0,0.0,0,-5.0,-5.0,0.0,0.3198,0.552941176,TRAIN
466,30,0.95,7,-,1,36,0.1,31,-,1,0,2.65,-3.512733785,24.0,6.0,15.0,0.225806452,1,1.0,1.0,1.0,0.0,0.0,1,2.65,2.65,0.0,1.0,0.9,TRAIN
6794,34,0.4,27,-,1,41,0.05,23,-,1,0,-5.9,0.493723409,-4.0,7.0,1.5,0.851851852,1,-0.8888,-0.8958,0.0092,0.0,0.0,0,-5.9,-5.9,0.0,0.0829,0.2125,TRAIN
4191,25,0.9,21,-,1,41,0.8,-41,-,1,0,7.11e-15,31.6,-62.0,16.0,-23.0,0.0,1,0.5858,0.5962,0.0066,-0.205,-0.1928,0,7.11e-15,7.11e-15,-32.8,0.497,0.3875,TRAIN
12227,17,1.0,17,-,1,43,0.25,2,-,1,0,-4.75,17.75352078,-15.0,26.0,5.5,0.117647059,1,-0.5066,-0.5112,0.005,0.0,0.0,0,-4.75,-4.75,0.0,0.2561,0.35,TRAIN
7448,-10,0.99,-18,-,1,-17,0.99,-27,Symm,6,0,-7.02,0.696491206,-9.0,-4.5,-4.428571429,0.666666667,-1,-1.0,-0.9834,-0.8586,0.0,0.0,-1,-7.02,-7.02,3.55e-15,0.0,0.209090909,TRAIN
8381,16,1.0,16,-,1,26,0.99,5,-,1,0,9.79,2.089473618,-11.0,10.0,-0.5,0.3125,1,0.9786,0.9822,0.0062,0.0,0.0,0,9.79,9.79,0.0,0.9513,0.764705882,TRAIN
9450,32,0.5,26,-,1,50,0.75,-14,-,1,1,5.0,24.71281292,-40.0,18.0,-11.0,0.0,1,0.506,0.5004,0.0044,-0.2533,-0.2518,0,5.0,5.0,-32.0,0.5501,0.455555556,TRAIN
13820,7,1.0,7,-,1,52,0.6,-50,R-skew,7,0,4.2,51.84361099,-57.0,165.0,57.0,0.0,1,0.1992,0.1882,0.7446,-0.3967,-0.4026,0,4.2,4.2,-177.6,0.5172,0.813333333,TRAIN
97,11,0.4,-6,-,1,41,0.6,-50,-,1,1,3.8,36.25244819,-44.0,30.0,-7.0,0.12,1,0.2036,0.2116,-0.0238,0.203,0.2003,0,3.8,3.8,36.4,0.5386,0.694117647,TRAIN
7555,9,1.0,9,-,1,51,0.01,9,R-skew,5,0,0.42,4.247775889,0.0,68.0,40.33333333,1.0,1,0.0106,0.011,0.833,0.0,0.0,1,0.42,0.42,-1.42e-14,1.0,0.905882353,TRAIN
5913,46,0.6,-6,-,1,25,1.0,25,Symm,4,0,-0.2,-24.60866792,29.5,-19.5,5.0,0.0,1,-0.1908,-0.199,-0.0062,0.398,0.4027,0,-0.2,-0.2,41.6,0.5813,0.541176471,TRAIN
10278,30,1.0,30,-,1,49,0.5,17,Symm,2,0,3.0,16.00390577,-13.0,19.5,8.333333333,0.566666667,1,-0.0128,0.002,0.3506,0.0,0.0,0,3.0,3.0,0.0,0.6618,0.68,TRAIN
10251,-6,1.0,-6,-,1,5,0.4,-12,-,1,0,0.8,8.328265125,-6.0,11.0,2.5,0.5,1,-0.204,-0.2138,0.0048,0.409,0.4088,0,0.8,0.8,13.6,0.5935,0.705263158,TRAIN
13001,-1,1.0,-1,-,1,26,0.25,-21,R-skew,2,0,-8.25,20.35773809,-20.0,28.0,11.33333333,0.047619048,1,-0.5122,-0.497,0.3346,0.2515,0.2484,0,-8.25,-8.25,24.0,0.2478,0.44,TRAIN
10922,18,1.0,18,-,1,36,0.25,16,-,1,0,3.0,8.660254038,-2.0,18.0,8.0,0.888888889,1,-0.5006,-0.4966,0.0076,0.0,0.0,0,3.0,3.0,0.0,0.8276,0.529411765,TRAIN
4374,43,0.4,-29,-,1,2,0.4,-15,R-skew,4,0,-8.0,-26.45448922,14.0,-30.0,-6.4,0.517241379,1,0.2216,0.1804,0.001,-0.1907,-0.2013,0,-8.0,-8.0,-28.8,0.3848,0.4375,TRAIN
11214,-5,1.0,-5,-,1,73,0.05,-4,-,1,0,4.85,16.78176093,1.0,78.0,39.5,0.8,1,1.0,1.0,1.0,0.0458,0.0497,1,4.85,4.85,7.8,1.0,0.823529412,TRAIN
8075,-1,0.75,-10,-,1,-12,0.25,-15,R-skew,2,0,-11.0,-2.505173226,-5.0,-10.0,-7.5,0.666666667,-1,-1.0,-1.0,-1.0,0.0,0.0,-1,-11.0,-11.0,0.0,0.0,0.1125,TRAIN
2893,7,1.0,7,-,1,18,0.25,13,-,1,0,7.25,2.165063509,6.0,11.0,8.5,0.538461538,1,1.0,1.0,1.0,0.0,0.0,1,7.25,7.25,0.0,1.0,0.85,TRAIN
6136,52,0.5,-18,-,1,17,1.0,17,-,1,0,0.0,-35.0,35.0,-35.0,0.0,0.0,1,0.0096,-0.0024,-0.014,0.5016,0.4971,0,0.0,0.0,70.0,0.6148,0.45,TRAIN
9774,8,1.0,8,-,1,19,0.95,10,Symm,8,0,10.55,2.347338919,2.0,14.5,10.0,0.8,1,1.0,1.0,1.0,0.0,0.0,1,10.55,10.55,-1.78e-15,1.0,0.9375,TRAIN
1309,33,0.2,-20,-,1,2,0.2,-16,-,1,0,-3.0,-14.0,4.0,-31.0,-13.5,0.8,1,0.618,0.5924,0.0066,0.0,0.0041,0,-3.0,-3.0,0.0,0.4057,0.266666667,TRAIN
4221,-5,1.0,-5,-,1,54,0.05,-11,-,1,0,-2.75,14.16642157,-6.0,59.0,26.5,0.454545455,1,-0.8992,-0.9038,0.0116,0.0539,0.0542,0,-2.75,-2.75,6.5,0.2833,0.447058824,TRAIN
9851,-1,1.0,-1,-,1,6,0.8,-34,Symm,8,0,-1.0,16.04369035,-33.0,10.5,2.555555556,0.029411765,1,0.5828,0.595,0.771,0.7984,0.8016,0,-1.0,-1.0,69.6,0.6133,0.717647059,TRAIN
4514,72,0.25,9,-,1,25,1.0,25,L-skew,6,0,0.25,-15.40545813,-41.0,-42.0,-29.5,0.0,1,0.3676,0.4108,-0.6604,-0.0605,-0.0622,0,0.25,0.25,-9.75,0.4522,0.511111111,TRAIN
9600,1,1.0,1,-,1,5,0.8,-10,-,1,0,1.0,6.0,-11.0,4.0,-3.5,0.0,1,0.5928,0.598,0.0022,-0.194,-0.1974,0,1.0,1.0,-6.0,0.5271,0.541176471,TRAIN
11925,39,0.1,19,-,1,99,0.4,-41,-,1,0,-6.0,62.5857128,-60.0,60.0,0.0,0.0,1,-0.1942,-0.2126,-0.0042,-0.599,-0.6067,0,-6.0,-6.0,-168.0,0.317,0.2625,TRAIN
3028,3,1.0,3,-,1,8,0.25,-4,-,1,0,-4.0,5.196152423,-7.0,5.0,-1.0,0.0,1,-0.5048,-0.4946,0.0034,-0.7482,-0.751,0,-4.0,-4.0,-18.0,0.1075,0.325,TRAIN
556,31,0.4,-26,-,1,37,0.4,-18,Symm,4,0,7.2,-0.97422945,8.0,7.5,23.5,0.692307692,1,1.0,0.5174,1.0,0.0,0.0097,1,7.2,7.2,7.11e-15,0.8076,0.703267974,TRAIN
9029,52,0.25,3,-,1,63,0.1,11,R-skew,4,-1,0.95,-5.55045928,8.0,22.0,27.1,0.272727273,1,0.6976,0.5018,1.0,0.0,0.0,0,0.95,0.95,0.0,0.7666,0.635294118,TRAIN
14514,-7,1.0,-7,-,1,-8,0.99,-25,Symm,4,0,-1.17,1.898315042,-18.0,0.5,-4.4,0.28,-1,-0.7572,-0.7522,-0.6038,0.0,0.0,0,-1.17,-1.17,-3.55e-15,0.2134,0.066666667,TRAIN
9670,11,1.0,11,-,1,14,0.95,11,Symm,6,0,2.85,1.270826503,0.0,5.5,2.571428571,1.0,1,0.9515,0.9511,0.8622,0.0,0.0,1,2.85,2.85,-8.88e-16,1.0,0.875,TRAIN
3140,12,0.25,4,-,1,23,0.75,-2,-,1,-1,10.75,7.361215932,-6.0,11.0,2.5,0.0,1,0.5024,0.4954,0.009,-0.2404,-0.2554,0,10.75,10.75,-12.5,0.862,0.647058824,TRAIN
7233,7,1.0,7,-,1,34,0.1,-6,-,1,0,-9.0,12.0,-13.0,27.0,7.0,0.0,1,-0.798,-0.8014,-0.0006,-0.9044,-0.8975,0,-9.0,-9.0,-72.0,0.0889,0.2125,TRAIN
9386,16,0.4,-6,-,1,3,1.0,3,Symm,4,0,0.2,-9.911729464,7.5,-11.5,-2.0,0.0,1,0.196,0.1842,-0.0108,0.5928,0.6045,0,0.2,0.2,26.4,0.6477,0.7125,TRAIN
3089,35,0.1,-4,-,1,21,0.2,-2,Symm,4,0,2.7,-2.491851435,2.0,-12.5,0.9,0.5,1,0.7932,0.81,0.0058,0.1095,0.0979,0,2.7,2.7,7.8,0.7254,0.635294118,TRAIN
6465,39,0.25,6,-,1,25,0.01,15,-,1,0,0.85,-13.29443173,9.0,-14.0,-2.5,0.4,1,0.5032,0.5078,-0.0088,0.0,0.0,0,0.85,0.85,0.0,0.627,0.7,TRAIN
12000,49,0.2,19,-,1,28,0.75,8,-,1,0,-2.0,-3.339745962,-11.0,-21.0,-16.0,0.421052632,1,0.1032,0.1912,-1.0,0.0,0.0,0,-2.0,-2.0,0.0,0.315,0.6,TRAIN
9302,24,1.0,24,-,1,40,0.8,-14,Symm,6,0,5.2,21.62313576,-38.0,18.5,8.285714286,0.0,1,0.6068,0.5878,0.7232,-0.1934,-0.1901,0,5.2,5.2,-22.6,0.6369,0.533333333,TRAIN
3274,6,1.0,6,-,1,75,0.01,8,-,1,0,2.67,6.666415829,2.0,69.0,35.5,0.75,1,1.0,1.0,1.0,0.0,0.0,1,2.67,2.67,0.0,1.0,0.882352941,TRAIN
11319,-4,0.6,-6,-,1,98,0.1,-17,L-skew,2,-1,-0.7,33.52165335,-11.0,103.0,64.66666667,0.352941176,1,-0.7934,-0.799,0.3454,0.1033,0.1004,0,-0.7,-0.7,23.2,0.362,0.53125,TRAIN
1809,10,1.0,10,-,1,58,0.01,10,-,1,0,0.48,4.775939698,0.0,48.0,24.0,1.0,1,0.011,0.0105,0.4968,0.0,0.0,1,0.48,0.48,0.0,1.0,0.64,TRAIN
7178,25,1.0,25,-,1,80,0.2,13,-,1,0,1.4,26.8,-12.0,55.0,21.5,0.52,1,-0.5994,-0.6074,-0.0006,0.0,0.0,0,1.4,1.4,0.0,0.4343,0.6,TRAIN
10016,60,0.1,-9,-,1,7,0.5,-11,L-skew,3,1,0.1,-11.53484861,-2.0,-51.0,-23.5,0.818181818,1,-0.1958,-0.19,-0.4908,0.3979,0.3974,0,0.1,0.1,56.8,0.5029,0.7,TRAIN
9206,17,1.0,17,-,1,54,0.5,-30,Symm,4,0,-5.0,42.00446405,-47.0,38.5,20.2,0.0,1,-0.009,-0.0072,0.59,-0.4956,-0.4942,0,-5.0,-5.0,-85.5,0.365,0.525,TRAIN
10063,33,0.6,15,-,1,37,0.75,-23,-,1,0,-3.8,17.16259904,-38.0,4.0,-17.0,0.0,1,0.5028,0.4958,0.0206,-0.2523,-0.2429,0,-3.8,-3.8,-30.0,0.3016,0.4,TRAIN
6990,12,1.0,12,-,1,11,0.25,11,Symm,4,0,-1.0,0.433012702,-2.5,0.5,-1.0,0.791666667,1,-0.9402,-0.9342,-0.5942,0.0,0.0,0,-1.0,-1.0,0.0,0.2512,0.252631579,TRAIN
9613,37,0.2,-13,-,1,-3,0.2,-8,Symm,2,0,-4.0,-17.98753882,5.0,-39.5,-16.66666667,0.615384615,1,0.6016,0.5814,0.004,-0.1974,-0.1987,0,-4.0,-4.0,-20.0,0.3759,0.336842105,TRAIN
7234,95,0.05,-9,-,1,-4,1.0,-4,-,1,0,-0.2,-22.66627451,5.0,-99.0,-47.0,0.444444444,1,0.8998,0.908,-0.0082,-0.0478,-0.0528,0,-0.2,-0.2,-10.4,0.6455,0.6125,TRAIN
13276,-5,1.0,-5,-,1,3,0.9,-19,-,1,0,5.8,6.6,-14.0,8.0,-3.0,0.263157895,1,0.8122,0.7968,-0.0026,0.8977,0.9011,0,5.8,5.8,39.6,0.8498,0.666666667,TRAIN
12747,15,1.0,15,-,1,56,0.4,0,Symm,2,0,7.4,27.4361076,-15.0,41.5,22.33333333,0.0,1,-0.1832,-0.2042,0.323,-0.6034,-0.5892,0,7.4,7.4,-33.9,0.4981,0.45,TRAIN
4385,-6,0.9,-12,-,1,37,0.25,-17,-,1,0,3.1,21.5826859,-5.0,43.0,19.0,0.705882353,1,-0.487,-0.4888,0.0006,0.2494,0.2492,0,3.1,3.1,27.0,0.5411,0.725,TRAIN
10013,7,1.0,7,-,1,41,0.5,-43,-,1,0,-8.0,42.0,-50.0,34.0,-8.0,0.0,1,-0.0046,0.0068,0.0074,-0.498,-0.4976,0,-8.0,-8.0,-84.0,0.2935,0.25,TRAIN
13382,26,1.0,26,-,1,25,0.1,24,-,1,0,-1.9,0.3,-2.0,-1.0,-1.5,0.923076923,1,-1.0,-1.0,-1.0,0.0,0.0,-1,-1.9,-1.9,0.0,0.0,0.070588235,TRAIN
1220,17,0.25,9,-,1,23,0.01,17,-,1,0,6.06,-2.867109153,8.0,6.0,7.0,0.529411765,1,0.759,0.7481,1.0,0.0,0.0,1,6.06,6.06,0.0,1.0,0.75,TRAIN
4776,24,0.5,2,-,1,78,0.01,7,R-skew,4,0,-5.29,-3.920741564,5.0,65.0,52.8,0.285714286,1,0.031,0.0072,1.0,0.0,0.0,0,-5.29,-5.29,-1.42e-14,0.3881,0.573333333,TRAIN
702,18,1.0,18,-,1,40,0.2,20,L-skew,2,0,6.0,8.01249025,2.0,23.0,15.33333333,0.9,1,1.0,1.0,1.0,0.0,0.0,1,6.0,6.0,0.0,1.0,0.744444444,TRAIN
11807,47,0.2,1,-,1,46,0.2,-7,Symm,6,0,-6.6,2.805895407,-8.0,1.5,14.42857143,0.0,1,-0.9244,-0.6614,0.272,-0.7988,-0.8086,0,-6.6,-6.6,-88.8,0.1699,0.275,TRAIN
1363,4,1.0,4,-,1,60,0.25,-17,-,1,0,-1.75,33.34197805,-21.0,56.0,17.5,0.0,1,-0.4866,-0.4932,0.0052,-0.7455,-0.7463,0,-1.75,-1.75,-115.5,0.3014,0.3875,TRAIN
14018,99,0.2,-37,-,1,-10,1.0,-10,-,1,0,-0.2,-54.4,27.0,-109.0,-41.0,0.27027027,1,0.6074,0.5838,0.007,-0.1968,-0.1939,0,-0.2,-0.2,-54.4,0.6028,0.413333333,TRAIN
10561,4,0.99,2,-,1,4,1.0,4,L-skew,4,0,0.02,4.383578208,-9.0,3.0,-1.5,0.0,1,0.4902,0.5086,-0.0262,-0.1264,-0.1257,0,0.02,0.02,-3.5,0.4491,0.458823529,TRAIN
13017,3,1.0,3,-,1,9,0.99,-25,-,1,0,5.66,3.382957286,-28.0,6.0,-11.0,0.0,1,0.9794,0.9822,0.0074,-0.0103,-0.0088,0,5.66,5.66,-0.68,0.7264,0.7875,TRAIN
8509,16,1.0,16,-,1,117,0.4,-38,L-skew,6,0,8.0,76.30465254,-54.0,106.0,66.85714286,0.0,1,-0.203,-0.2034,0.714,-0.5972,-0.6,0,8.0,8.0,-192.0,0.4845,0.4,TRAIN
11934,89,0.25,4,-,1,49,0.05,25,-,1,0,0.95,-31.57540093,21.0,-40.0,-9.5,0.16,1,0.516,0.488,0.008,0.0,0.0,0,0.95,0.95,0.0,0.6507,0.632085561,TRAIN
12687,-2,0.95,-29,-,1,2,0.05,-8,L-skew,5,0,-4.15,-3.118650237,5.0,8.0,11.1,0.827586207,1,-0.8064,-0.8258,1.0,0.043,0.0462,0,-4.15,-4.15,2.84375,0.267,0.325,TRAIN
9630,26,1.0,26,-,1,26,1.0,26,Symm,4,0,7.11e-15,0.866025404,-1.5,1.5,0.0,0.942307692,1,0.007,-0.004,-0.0142,0.0,0.0,0,7.11e-15,7.11e-15,8.88e-16,0.5023,0.35,TRAIN
11511,25,1.0,25,-,1,40,0.25,8,Symm,6,0,-9.0,13.86767825,-17.0,17.5,10.42857143,0.32,1,-0.5074,-0.5048,0.7148,0.0,0.0,0,-9.0,-9.0,0.0,0.1986,0.364705882,TRAIN
12360,-9,1.0,-9,-,1,32,0.05,-12,-,1,0,-0.8,9.589577676,-3.0,41.0,19.0,0.75,1,-0.8978,-0.899,0.004,0.0467,0.0498,0,-0.8,-0.8,4.4,0.376,0.7,TRAIN
5875,21,1.0,21,-,1,48,0.5,-30,-,1,0,-12.0,39.0,-51.0,27.0,-12.0,0.0,1,-0.003,-0.004,-0.0274,-0.4992,-0.5084,0,-12.0,-12.0,-78.0,0.2655,0.223529412,TRAIN
11927,30,0.4,7,-,1,27,0.8,22,-,1,0,9.8,-9.267652817,15.0,-3.0,6.0,0.318181818,1,0.1974,0.215,-0.0094,0.0,0.0,0,9.8,9.8,0.0,0.9816,0.8125,TRAIN
10140,26,0.8,1,-,1,40,0.75,-49,-,1,0,-3.25,28.53813047,-50.0,14.0,-18.0,0.0,1,0.5066,0.4914,0.0142,-0.2506,-0.2524,0,-3.25,-3.25,-44.5,0.4305,0.386666667,TRAIN
11422,17,1.0,17,-,1,48,0.1,11,Symm,6,0,-2.3,11.1056292,-6.0,33.5,25.71428571,0.647058824,1,-0.8034,-0.7968,0.718,0.0,0.0,0,-2.3,-2.3,0.0,0.4256,0.4125,TRAIN
8932,13,1.0,13,-,1,26,0.6,7,-,1,0,5.4,9.308061023,-6.0,13.0,3.5,0.538461538,1,0.2014,0.2068,-0.0176,0.0,0.0,0,5.4,5.4,0.0,0.837,0.589473684,TRAIN
10024,14,1.0,14,-,1,27,0.6,-1,-,1,0,1.8,13.71714256,-15.0,13.0,-1.0,0.0,1,0.1938,0.2024,0.0062,-0.4018,-0.4083,0,1.8,1.8,-22.4,0.5057,0.65625,TRAIN
13493,29,0.5,-47,-,1,1,0.1,-22,-,1,0,-10.7,-31.1,25.0,-28.0,-1.5,0.468085106,1,-0.0094,0.004,0.0022,-0.4053,-0.4083,0,-10.7,-10.7,-60.8,0.3317,0.223501684,TRAIN
8716,6,1.0,6,-,1,19,0.8,-15,Symm,4,0,6.2,13.62204096,-21.0,14.5,6.2,0.0,1,0.6104,0.5958,0.597,-0.2018,-0.2033,0,6.2,6.2,-14.2,0.7328,0.8125,TRAIN
12947,12,0.95,3,-,1,12,1.0,12,-,1,0,0.45,-1.961504525,9.0,0.0,4.5,0.25,1,0.052,0.0532,0.4998,0.0,0.0,1,0.45,0.45,0.0,1.0,0.773333333,TRAIN
4319,30,1.0,30,-,1,30,1.0,30,R-skew,6,0,0.0,11.87434209,-5.0,57.0,14.0,0.833333333,1,-0.491,-0.4898,0.34,0.0,0.0,0,0.0,0.0,0.0,0.4668,0.575,TRAIN
