Problem,Ha,pHa,La,LotShapeA,LotNumA,Hb,pHb,Lb,LotShapeB,LotNumB,Corr,diffEV,diffSDs,diffMins,diffMaxs,diffUV,RatioMin,SignMax,pBbet_Unbiased1,pBbet_UnbiasedFB,pBbet_Uniform,pBbet_Sign1,pBbet_SignFB,Dom,diffBEV0,diffBEVfb,diffSignEV,BEASTpred,bRate,TEST_TRAIN,BEASTNET
8056,-4,1.0,-4,-,1,76,0.01,6,-,1,0,10.7,6.96491206,10.0,80.0,45.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1,10.7,10.7,160.0,1.0,0.988235294,TRAIN,0.9547382087897892
10341,12,1.0,12,-,1,5,0.4,0,-,1,0,-10.0,2.449489743,-12.0,-7.0,-9.5,0.0,1,-1.0,-1.0,-1.0,-0.5971,-0.5954,-1,-10.0,-10.0,-7.2,0.0,0.04,TRAIN,0.07907448486784124
4475,15,1.0,15,-,1,25,0.4,15,-,1,0,4.0,4.898979486,0.0,10.0,5.0,1.0,1,0.4069,0.3974,0.4999,0.0,0.0,1,4.0,4.0,0.0,1.0,0.788888889,TRAIN,0.7051729020967956
1273,29,1.0,29,-,1,72,0.01,40,-,1,0,11.32,3.183959799,11.0,43.0,27.0,0.725,1,1.0,1.0,1.0,0.0,0.0,1,11.32,11.32,0.0,1.0,0.8875,TRAIN,0.9350330620280956
6096,7,1.0,7,-,1,7,0.6,-11,-,1,0,-7.2,8.818163074,-18.0,0.0,-9.0,0.0,1,-0.4028,-0.3979,-0.4922,-0.3994,-0.3983,-1,-7.2,-7.2,-14.4,0.0,0.1,TRAIN,0.16627779198759224
9442,22,1.0,22,-,1,22,0.01,18,-,1,0,-3.96,0.397994975,-4.0,0.0,-2.0,0.818181818,1,-0.9904,-0.991,-0.496,0.0,0.0,-1,-3.96,-3.96,0.0,0.0,0.044444444,TRAIN,0.3031060746781732
12365,-1,0.9,-2,-,1,20,0.2,-1,-,1,0,4.3,8.1,1.0,21.0,11.0,0.5,1,0.294,0.2821,1.0,0.2012,0.201,1,4.3,4.3,8.8,1.0,0.875,TRAIN,0.7318004377357971
13905,4,1.0,4,-,1,87,0.05,5,-,1,0,5.1,17.87148567,1.0,83.0,42.0,0.8,1,1.0,1.0,1.0,0.0,0.0,1,5.1,5.1,0.0,1.0,0.85,TRAIN,0.7201395792242419
12632,76,0.25,15,-,1,76,0.25,14,-,1,0,-0.75,0.433012702,-1.0,0.0,-0.5,0.933333333,1,-0.7481,-0.5622,-0.5043,0.0,0.0,-1,-0.75,-0.75,0.0,0.1434,0.308333333,TRAIN,0.4587009053382733
8763,19,1.0,19,-,1,19,0.6,5,-,1,0,-5.6,6.85857128,-14.0,0.0,-7.0,0.263157895,1,-0.402,-0.3939,-0.5011,0.0,0.0,-1,-5.6,-5.6,0.0,0.0,0.15,TRAIN,0.24653561089213452
11775,19,1.0,19,-,1,68,0.01,19,-,1,0,0.49,4.875438442,0.0,49.0,24.5,1.0,1,0.0097,0.0083,0.5057,0.0,0.0,1,0.49,0.49,0.0,1.0,0.666666667,TRAIN,0.614886775966206
2866,19,1.0,19,-,1,17,0.8,-18,-,1,0,-9.0,14.0,-37.0,-2.0,-19.5,0.0,1,-1.0,-1.0,-1.0,-0.1966,-0.2027,-1,-9.0,-9.0,-14.8,0.0,0.152941176,TRAIN,0.1464687382526099
9441,28,1.0,28,-,1,33,0.01,30,Symm,4,0,2.03,0.310805405,2.0,6.5,4.4,0.933333333,1,1.0,1.0,1.0,0.0,0.0,1,2.03,2.03,0.0,1.0,0.894736842,TRAIN,0.6416158449995645
8502,-5,0.99,-28,-,1,9,0.05,-4,-,1,0,1.88,0.544813208,24.0,14.0,19.0,0.142857143,1,1.0,1.0,1.0,0.052,0.0519,1,1.88,1.88,3.7,1.0,0.925,TRAIN,0.7241533326220335
1323,11,1.0,11,-,1,23,0.01,17,Symm,6,0,6.06,0.607371386,6.0,14.5,11.14285714,0.647058824,1,1.0,1.0,1.0,0.0,0.0,1,6.06,6.06,3.55e-15,1.0,0.875,TRAIN,0.8294249652734242
7039,27,0.1,21,-,1,33,0.1,33,-,1,0,11.4,-1.8,12.0,6.0,9.0,0.636363636,1,1.0,1.0,1.0,0.0,0.0,1,11.4,11.4,0.0,1.0,0.85,TRAIN,0.9159508676660797
7994,7,1.0,7,-,1,38,0.01,16,Symm,6,0,9.22,2.191825723,9.0,33.5,27.85714286,0.4375,1,1.0,1.0,1.0,0.0,0.0,1,9.22,9.22,7.11e-15,1.0,0.852631579,TRAIN,0.9168659979640633
2692,16,0.95,13,-,1,14,0.1,5,-,1,0,-9.95,2.046165158,-8.0,-2.0,-5.0,0.384615385,1,-1.0,-0.9882,-1.0,0.0,0.0,-1,-9.95,-9.95,0.0,0.0,0.0375,TRAIN,0.125339936420168
44,7,0.1,4,-,1,1,0.6,1,Symm,4,0,-3.3,-0.229179607,-4.5,-4.5,-4.5,0.0,1,-1.0,-1.0,-1.0,-0.0774,-0.0735,-1,-3.3,-3.3,-1.125,0.0,0.1375,TRAIN,0.2998046775924216
10171,30,1.0,30,-,1,48,0.05,36,L-skew,4,0,6.6,2.808914381,6.0,21.0,13.6,0.833333333,1,1.0,1.0,1.0,0.0,0.0,1,6.6,6.6,-3.55e-15,1.0,0.752941176,TRAIN,0.8437105858937146
10960,22,1.0,22,-,1,14,0.9,5,-,1,0,-8.9,2.7,-17.0,-8.0,-12.5,0.227272727,1,-1.0,-1.0,-1.0,0.0,0.0,-1,-8.9,-8.9,0.0,0.0,0.075,TRAIN,0.10407266280101064
9908,-10,1.0,-10,-,1,0,0.5,-10,-,1,0,5.0,5.0,0.0,10.0,5.0,1.0,0,0.4987,0.5026,0.4989,0.5074,0.5113,1,5.0,5.0,5.0,1.0,0.811764706,TRAIN,0.7587424121034214
9782,8,1.0,8,-,1,0,0.25,-6,Symm,2,0,-12.5,2.610076627,-14.0,-7.5,-10.0,0.0,1,-1.0,-1.0,-1.0,-0.8745,-0.8753,-1,-12.5,-12.5,-24.5,0.0,0.075,TRAIN,0.038368033148451455
11352,-4,1.0,-4,-,1,12,0.05,1,-,1,0,5.55,2.397394419,5.0,16.0,10.5,0.0,1,1.0,1.0,1.0,1.0,1.0,1,5.55,5.55,32.0,1.0,0.936842105,TRAIN,0.8501813701365475
3385,-4,1.0,-4,-,1,2,0.95,-1,-,1,0,5.85,0.653834842,3.0,6.0,4.5,0.25,1,1.0,1.0,1.0,0.9478,0.9449,1,5.85,5.85,11.4,1.0,0.9375,TRAIN,0.824410085016682
539,27,1.0,27,-,1,27,0.2,16,-,1,0,-8.8,4.4,-11.0,0.0,-5.5,0.592592593,1,-0.7976,-0.7967,-0.5034,0.0,0.0,-1,-8.8,-8.8,0.0,0.0,0.0875,TRAIN,0.1554273097315336
8292,-9,1.0,-9,-,1,45,0.05,-9,L-skew,3,0,2.7,11.78176557,0.0,56.0,40.0,1.0,1,0.0516,0.0479,0.7421,0.0526,0.052,1,2.7,2.7,5.6,1.0,0.957894737,TRAIN,0.706035655812588
6166,19,0.6,16,-,1,16,0.99,-2,-,1,0,-1.98,0.321283541,-18.0,-3.0,-10.5,0.0,1,-0.6046,-0.6087,-1.0,-0.0118,-0.0102,-1,-1.98,-1.98,-0.42,0.0,0.15,TRAIN,0.301295375574348
3683,63,0.01,29,-,1,29,1.0,29,-,1,0,-0.34,-3.382957286,0.0,-34.0,-17.0,1.0,1,-0.01,-0.0092,-0.5002,0.0,0.0,-1,-0.34,-0.34,0.0,0.0,0.115789474,TRAIN,0.39407530028153614
14546,23,0.4,21,-,1,19,0.5,16,Symm,6,0,-4.3,0.715786599,-5.0,-1.5,-3.428571429,0.761904762,1,-1.0,-0.979,-1.0,0.0,0.0,-1,-4.3,-4.3,0.0,0.0,0.075,TRAIN,0.27809192985771136
7815,25,1.0,25,-,1,38,0.01,25,R-skew,2,0,0.13,1.297343439,0.0,14.0,8.666666667,1.0,1,0.0093,0.0099,0.6607,0.0,0.0,1,0.13,0.13,0.0,1.0,0.755555556,TRAIN,0.5860132343999882
5251,-6,1.0,-6,-,1,-7,0.01,-10,-,1,0,-3.97,0.298496231,-4.0,-1.0,-2.5,0.6,-1,-1.0,-1.0,-1.0,0.0,0.0,-1,-3.97,-3.97,0.0,0.0,0.1,TRAIN,0.29728616526338103
2672,30,1.0,30,-,1,23,0.99,1,Symm,6,0,-7.22,2.455422571,-29.0,-4.5,-10.14285714,0.033333333,1,-1.0,-1.0,-1.0,0.0,0.0,-1,-7.22,-7.22,-7.11e-15,0.0,0.1375,TRAIN,0.1330465662350589
8963,1,1.0,1,-,1,0,0.4,0,-,1,0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,0.0,0.105263158,TRAIN,0.4353637081969709
4468,24,0.95,-10,-,1,33,0.4,27,Symm,6,0,7.1,-4.386884912,37.0,11.5,25.14285714,0.0,1,1.0,1.0,1.0,0.0452,0.0505,1,7.1,7.1,4.55,1.0,0.789473684,TRAIN,0.8649197828216085
11168,23,0.99,-6,-,1,31,0.05,30,-,1,0,7.34,-2.66751862,36.0,8.0,22.0,0.0,1,1.0,1.0,1.0,0.009,0.009,1,7.34,7.34,0.74,1.0,0.925,TRAIN,0.8828681939622953
9170,20,1.0,20,-,1,17,0.99,-17,-,1,0,-3.34,3.382957286,-37.0,-3.0,-20.0,0.0,1,-1.0,-1.0,-1.0,-0.0126,-0.0104,-1,-3.34,-3.34,-0.74,0.0,0.133333333,TRAIN,0.23066072748082922
11867,28,1.0,28,-,1,57,0.01,31,-,1,0,3.26,2.586967336,3.0,29.0,16.0,0.903225806,1,1.0,1.0,1.0,0.0,0.0,1,3.26,3.26,0.0,1.0,0.866666667,TRAIN,0.7352607683098504
11656,-6,1.0,-6,-,1,-8,0.8,-8,-,1,0,-2.0,0.0,-2.0,-2.0,-2.0,0.75,-1,-1.0,-1.0,-1.0,0.0,0.0,-1,-2.0,-2.0,0.0,0.0,0.178947368,TRAIN,0.38407708670324964
10049,11,1.0,11,-,1,10,0.5,6,-,1,0,-3.0,2.0,-5.0,-1.0,-3.0,0.545454545,1,-1.0,-1.0,-1.0,0.0,0.0,-1,-3.0,-3.0,0.0,0.0,0.176470588,TRAIN,0.33369015460518675
10509,25,1.0,25,-,1,71,0.01,28,-,1,0,3.43,4.27844598,3.0,46.0,24.5,0.892857143,1,1.0,1.0,1.0,0.0,0.0,1,3.43,3.43,0.0,1.0,0.7625,TRAIN,0.7441103205986986
1226,-3,1.0,-3,-,1,-5,0.4,-15,Symm,2,0,-8.0,4.909175083,-12.0,-1.5,-5.333333333,0.2,-1,-1.0,-1.0,-1.0,0.0,0.0,-1,-8.0,-8.0,0.0,0.0,0.05,TRAIN,0.17395992258654125
2834,29,1.0,29,-,1,27,0.9,26,-,1,0,-2.1,0.3,-3.0,-2.0,-2.5,0.896551724,1,-1.0,-1.0,-1.0,0.0,0.0,-1,-2.1,-2.1,0.0,0.0,0.175,TRAIN,0.3742979529520287
6903,49,0.01,-2,-,1,78,0.1,0,R-skew,4,1,9.29,18.37039292,2.0,40.0,40.9,0.0,1,1.0,1.0,1.0,0.9899,0.9904,1,9.29,9.29,98.28,1.0,0.858823529,TRAIN,0.8460954228605075
129,5,1.0,5,-,1,22,0.05,8,R-skew,6,0,3.7,4.044749683,3.0,74.0,27.0,0.625,1,1.0,1.0,1.0,0.0,0.0,1,3.7,3.7,0.0,1.0,0.8625,TRAIN,0.7732046076208523
3889,7,1.0,7,-,1,99,0.01,7,-,1,0,0.92,9.153884421,0.0,92.0,46.0,1.0,1,0.0093,0.0098,0.499,0.0,0.0,1,0.92,0.92,0.0,1.0,0.875,TRAIN,0.6235595776757263
1001,4,1.0,4,-,1,4,0.99,-3,-,1,0,-0.07,0.696491206,-7.0,0.0,-3.5,0.0,1,-0.0104,-0.0103,-0.5003,-0.0094,-0.0093,-1,-0.07,-0.07,-0.14,0.0,0.044444444,TRAIN,0.4396774942151455
10811,29,1.0,29,-,1,25,0.2,25,-,1,0,-4.0,0.0,-4.0,-4.0,-4.0,0.862068966,1,-1.0,-1.0,-1.0,0.0,0.0,-1,-4.0,-4.0,0.0,0.0,0.070588235,TRAIN,0.28118204336321967
10368,21,1.0,21,-,1,19,0.99,-11,Symm,2,0,-2.3,3.02613615,-32.0,-1.5,-12.0,0.0,1,-1.0,-1.0,-1.0,-0.011,-0.0113,-1,-2.3,-2.3,-0.64,0.0,0.094117647,TRAIN,0.28217010155824673
10833,56,0.01,16,-,1,16,1.0,16,-,1,0,-0.4,-3.979949748,0.0,-40.0,-20.0,1.0,1,-0.0097,-0.0121,-0.5046,0.0,0.0,-1,-0.4,-0.4,0.0,0.0,0.28,TRAIN,0.3895672199694432
9321,23,1.0,23,-,1,32,0.5,25,Symm,4,0,5.5,3.553167601,2.0,10.5,7.6,0.92,1,1.0,1.0,1.0,0.0,0.0,1,5.5,5.5,0.0,1.0,0.9625,TRAIN,0.7856176323430946
9233,22,1.0,22,-,1,21,0.4,16,Symm,2,0,-4.0,2.469817807,-6.0,-0.5,-2.666666667,0.727272727,1,-1.0,-1.0,-1.0,0.0,0.0,-1,-4.0,-4.0,0.0,0.0,0.223529412,TRAIN,0.299415379150475
3792,9,0.99,-17,-,1,9,0.9,-38,-,1,-1,-4.44,11.51303266,-21.0,0.0,-10.5,0.447368421,1,-0.0964,-0.0875,-0.5036,-0.0865,-0.0881,-1,-4.44,-4.44,-8.46,0.0082,0.1125,TRAIN,0.30854055529779134
9297,30,0.99,16,-,1,87,0.05,37,-,1,1,9.64,9.504264947,21.0,57.0,39.0,0.432432432,1,1.0,1.0,1.0,0.0,0.0,1,9.64,9.64,0.0,1.0,0.8,TRAIN,0.9071782959899732
13835,30,1.0,30,-,1,27,0.8,-4,-,1,0,-9.2,12.4,-34.0,-3.0,-18.5,0.0,1,-1.0,-1.0,-1.0,-0.2007,-0.2002,-1,-9.2,-9.2,-13.6,0.0,0.1125,TRAIN,0.13031664685108738
2930,41,0.01,-6,-,1,32,0.01,-12,-,1,0,-6.03,-0.298496231,-6.0,-9.0,-7.5,0.5,1,-1.0,-0.9782,-1.0,0.0,-0.0001,-1,-6.03,-6.03,0.0,0.0081,0.180952381,TRAIN,0.1889086233493585
1442,29,1.0,29,-,1,27,0.8,-6,-,1,0,-8.6,13.2,-35.0,-2.0,-18.5,0.0,1,-1.0,-1.0,-1.0,-0.1986,-0.2028,-1,-8.6,-8.6,-14.0,0.0,0.16,TRAIN,0.1502081935018666
13446,29,0.75,14,-,1,36,0.5,31,Symm,4,0,8.25,-3.921282993,17.0,8.5,13.5,0.451612903,1,1.0,1.0,1.0,0.0,0.0,1,8.25,8.25,0.0,1.0,0.8125,TRAIN,0.8666635341237512
8419,2,1.0,2,-,1,2,0.99,-16,-,1,0,-0.18,1.790977387,-18.0,0.0,-9.0,0.0,1,-0.0094,-0.0092,-0.4914,-0.0098,-0.01,-1,-0.18,-0.18,-0.36,0.0,0.1,TRAIN,0.38289266009628536
14221,29,1.0,29,-,1,48,0.1,30,-,1,0,2.8,5.4,1.0,19.0,10.0,0.966666667,1,1.0,1.0,1.0,0.0,0.0,1,2.8,2.8,0.0,1.0,0.9125,TRAIN,0.6830547251887114
12727,-1,1.0,-1,-,1,-6,0.6,-21,-,1,0,-11.0,7.348469228,-20.0,-5.0,-12.5,0.047619048,-1,-1.0,-1.0,-1.0,0.0,0.0,-1,-11.0,-11.0,0.0,0.0,0.106666667,TRAIN,0.10230865287828579
1612,0,1.0,0,-,1,7,0.6,0,-,1,0,4.2,3.42928564,0.0,7.0,3.5,1.0,1,0.5983,0.6007,0.4992,0.6068,0.6043,1,4.2,4.2,4.2,1.0,0.936842105,TRAIN,0.7299261237425233
2934,27,1.0,27,-,1,25,0.8,-7,-,1,0,-8.4,12.8,-34.0,-2.0,-18.0,0.0,1,-1.0,-1.0,-1.0,-0.197,-0.1993,-1,-8.4,-8.4,-13.6,0.0,0.1875,TRAIN,0.15218608727278493
4531,-6,0.75,-17,-,1,-3,0.75,-12,Symm,2,0,3.5,-0.842042935,5.0,3.5,5.5,0.705882353,-1,1.0,0.6218,1.0,0.0,0.0,1,3.5,3.5,0.0,0.9342,0.775,TRAIN,0.7089451367309192
5557,15,0.01,-9,-,1,20,0.2,-6,-,1,0,7.96,8.012030151,3.0,5.0,4.0,0.666666667,1,1.0,0.9836,1.0,0.1894,0.1889,1,7.96,7.96,11.02,0.9951,0.875,TRAIN,0.8031898796833395
8519,56,0.05,16,-,1,15,0.8,0,-,1,0,-6.0,-2.717797887,-16.0,-41.0,-28.5,0.0,1,-1.0,-1.0,-1.0,-0.1964,-0.1962,-1,-6.0,-6.0,-11.2,0.0,0.03,TRAIN,0.17995018405327182
1245,23,1.0,23,-,1,73,0.1,25,Symm,2,0,6.8,14.40086803,2.0,50.5,34.0,0.92,1,1.0,1.0,1.0,0.0,0.0,1,6.8,6.8,0.0,1.0,0.85,TRAIN,0.7973873654558413
383,61,0.05,-1,-,1,22,0.05,-4,Symm,8,0,-4.8,-7.838302629,-3.0,-35.5,-10.88888889,0.25,1,-1.0,-0.9036,-0.2172,0.0,0.001,-1,-4.8,-4.8,-1.42e-14,0.1393,0.166666667,TRAIN,0.3063021023223291
4677,22,1.0,22,-,1,51,0.05,22,-,1,0,1.45,6.320403468,0.0,29.0,14.5,1.0,1,0.0485,0.0504,0.4938,0.0,0.0,1,1.45,1.45,0.0,1.0,0.906666667,TRAIN,0.6334310979620345
2190,15,0.1,5,-,1,5,0.6,1,-,1,0,-2.6,-1.040408206,-4.0,-10.0,-7.0,0.2,1,-0.5046,-0.4608,-1.0,0.0,0.0,-1,-2.6,-2.6,0.0,0.0,0.2125,TRAIN,0.330739878769788
7964,12,1.0,12,-,1,17,0.1,12,-,1,0,0.5,1.5,0.0,5.0,2.5,1.0,1,0.0963,0.1003,0.4982,0.0,0.0,1,0.5,0.5,0.0,1.0,0.7875,TRAIN,0.5508198238168235
9073,17,1.0,17,-,1,17,0.99,14,-,1,0,-0.03,0.298496231,-3.0,0.0,-1.5,0.823529412,1,-0.0115,-0.0085,-0.4995,0.0,0.0,-1,-0.03,-0.03,0.0,0.0,0.270588235,TRAIN,0.4813373511127642
13147,11,0.99,-14,-,1,5,0.75,-15,-,1,0,-10.75,6.172785445,-1.0,-6.0,-3.5,0.933333333,1,-1.0,-0.9842,-1.0,-0.2443,-0.2392,-1,-10.75,-10.75,-12.48,0.0041,0.053333333,TRAIN,0.12955152233599962
1675,8,0.1,-5,-,1,71,0.1,-2,R-skew,3,0,9.0,18.01369435,3.0,67.0,51.75,0.4,1,1.0,0.8244,1.0,0.0,-0.0002,1,9.0,9.0,7.11e-15,0.9607,0.893333333,TRAIN,0.8445059558871021
7244,29,1.0,29,-,1,37,0.1,29,Symm,8,0,0.8,2.436185543,0.0,11.5,7.111111111,1.0,1,0.0958,0.0988,0.888,0.0,0.0,1,0.8,0.8,-1.78e-15,1.0,0.8625,TRAIN,0.6072042159953238
7795,10,1.0,10,-,1,44,0.1,12,-,1,0,5.2,9.6,2.0,34.0,18.0,0.833333333,1,1.0,1.0,1.0,0.0,0.0,1,5.2,5.2,0.0,1.0,0.823529412,TRAIN,0.7584781918244233
6556,23,1.0,23,-,1,23,0.5,17,-,1,0,-3.0,3.0,-6.0,0.0,-3.0,0.739130435,1,-0.4989,-0.5064,-0.4971,0.0,0.0,-1,-3.0,-3.0,0.0,0.0,0.105882353,TRAIN,0.337671235227043
1869,20,0.99,5,-,1,20,1.0,20,-,1,0,0.15,-1.492481156,15.0,0.0,7.5,0.25,1,0.0107,0.0111,0.4983,0.0,0.0,1,0.15,0.15,0.0,1.0,0.89,TRAIN,0.5729740572345057
8642,15,0.8,6,-,1,30,0.1,21,-,1,0,8.7,-0.9,15.0,15.0,15.0,0.285714286,1,1.0,1.0,1.0,0.0,0.0,1,8.7,8.7,0.0,1.0,0.9,TRAIN,0.8899523396058155
2240,17,0.75,13,-,1,14,0.75,9,Symm,2,1,-3.25,0.475889409,-4.0,-2.5,-2.666666667,0.692307692,1,-1.0,-1.0,-0.66,0.0,0.0,-1,-3.25,-3.25,0.0,0.0,0.0125,TRAIN,0.32419468120236095
556,31,0.4,-26,-,1,37,0.4,-18,Symm,4,0,7.2,-0.97422945,8.0,7.5,23.5,0.692307692,1,1.0,0.5174,1.0,0.0,0.0097,1,7.2,7.2,7.11e-15,0.8076,0.703267974,TRAIN,0.8577755326402888
2994,19,0.6,17,-,1,31,0.1,25,Symm,8,0,7.4,0.868175964,8.0,15.5,12.33333333,0.68,1,1.0,1.0,1.0,0.0,0.0,1,7.4,7.4,-3.55e-15,1.0,0.875,TRAIN,0.8638249965498573
1149,7,1.0,7,-,1,-2,0.01,-3,-,1,0,-9.99,0.099498744,-10.0,-9.0,-9.5,0.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-9.99,-9.99,-20.0,0.0,0.0,TRAIN,0.060934926745209825
1312,19,0.9,-25,-,1,97,0.05,20,Symm,4,0,9.25,3.58287818,45.0,79.5,84.6,0.0,1,1.0,1.0,1.0,0.1,0.0981,1,9.25,9.25,24.7,1.0,0.925,TRAIN,0.8469485062343971
13079,16,1.0,16,-,1,13,0.95,-1,Symm,4,0,-3.7,3.165833224,-17.0,-1.5,-5.8,0.0,1,-1.0,-1.0,-1.0,-0.0494,-0.048,-1,-3.7,-3.7,-1.7,0.0,0.1125,TRAIN,0.2533242815402663
12090,33,0.1,15,-,1,15,0.6,2,-,1,0,-7.0,0.968673331,-13.0,-18.0,-15.5,0.133333333,1,-0.4986,-0.4638,-1.0,0.0,0.0,-1,-7.0,-7.0,0.0,0.0,0.125,TRAIN,0.16736793051269977
7574,20,1.0,20,-,1,95,0.1,23,-,1,0,10.2,21.6,3.0,75.0,39.0,0.869565217,1,1.0,1.0,1.0,0.0,0.0,1,10.2,10.2,0.0,1.0,0.875,TRAIN,0.8326009143364338
11705,-4,1.0,-4,-,1,-6,0.8,-35,-,1,0,-7.8,11.6,-31.0,-2.0,-16.5,0.114285714,-1,-1.0,-1.0,-1.0,0.0,0.0,-1,-7.8,-7.8,0.0,0.0,0.0875,TRAIN,0.19202376200132537
9152,28,1.0,28,-,1,25,0.95,16,-,1,0,-3.45,1.961504525,-12.0,-3.0,-7.5,0.571428571,1,-1.0,-1.0,-1.0,0.0,0.0,-1,-3.45,-3.45,0.0,0.0,0.15,TRAIN,0.2810162220683895
1344,2,1.0,2,-,1,50,0.1,4,R-skew,7,0,6.6,14.90771612,2.0,168.0,67.0,0.5,1,1.0,1.0,1.0,0.0,0.0,1,6.6,6.6,0.0,1.0,0.9,TRAIN,0.817190710281638
12771,29,1.0,29,-,1,26,0.8,-2,-,1,0,-8.6,11.2,-31.0,-3.0,-17.0,0.0,1,-1.0,-1.0,-1.0,-0.19,-0.1982,-1,-8.6,-8.6,-12.4,0.0,0.2,TRAIN,0.1360785441902861
10506,1,1.0,1,-,1,-2,0.75,-32,Symm,4,0,-10.5,13.01201368,-33.0,-1.5,-9.0,0.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-10.5,-10.5,-66.0,0.0,0.186666667,TRAIN,0.09085708860548017
13623,1,1.0,1,-,1,-2,0.99,-37,-,1,0,-3.35,3.48245603,-38.0,-3.0,-20.5,0.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-3.35,-3.35,-76.0,0.0,0.066666667,TRAIN,0.1653164977129069
818,10,1.0,10,-,1,16,0.75,14,-,1,0,5.5,0.866025404,4.0,6.0,5.0,0.714285714,1,1.0,1.0,1.0,0.0,0.0,1,5.5,5.5,0.0,1.0,0.933333333,TRAIN,0.7779516716706227
